Species Name ,Authority / Year,Characters:,Description,Colour:,Color,Habitat:,Habitat,Abundance:,Abundance
Acropora akajimensis,"Veron, 1990",Characters:,"Colonies consist of dense thickets of prostrate tapered, curving branches which occasionally fuse. Sub-branches are formed at frequent intervals and branch acutely. Axial corallites are moderately exsert. Incipient axial corallites cover the upper surface of horizontal branches. Radial corallites are of two sizes on main branches. On sub-branches they are exsert and tubular, with fine fluted margins giving colonies a spiky surface.",Colour:,"Brown, blue and yellow.",Habitat:,Shallow reef slopes and flats.,Abundance:,"Occasionally locally common, usually rare."
Acropora anthocercis,"(Brook, 1893)",Characters:,Colonies are thick corymbose to encrusting plates. Branchlets are short and thick and may be almost encrusting where colonies are exposed to strong wave action. There are usually several axial or incipient axial corallites per branchlet. Radial corallites are appressed with thick flaring walls and are arranged in a rosette.,Colour:,"Colonies are a mixture of colours, blue, mauve, purple and grey being the most common.",Habitat:,Upper reef slopes exposed to strong wave action.,Abundance:,Sometimes common.
Acropora appressa,"(Ehrenberg, 1834)",Characters:,Colonies are caespitose to corymbose upright bushes. Axial corallites are conspicuous and conical in shape. Radial corallites may form incipient axial corallites. Most radial corallites are tubular with nariform openings.,Colour:,Whitish extremities with brown lower branches and brown corallites.,Habitat:,Shallow rocky foreshores and reefs.,Abundance:,"Common in in east Africa,  uncommon elsewhere."
Acropora arabensis,"Hodgson and Carpenter, 1995",Characters:,"Colonies are digitate with upright branches which usually divide infrequently and taper only towards their ends. Axial corallites are conspicuous and dome-shaped. Radial corallites are strongly appressed and thick walled, with small openings.",Colour:,Brown or grey with pale branch ends.,Habitat:,Upper reef slopes and lagoons.,Abundance:,Locally common.
Acropora aspera,"(Dana, 1846)",Characters:,"Colonies are corymbose clumps or tables with thick branches of highly variable length depending on exposure to wave action. Axial corallites are small but distinct. Radial corallites are of two sizes, crowded, and have prominent lower lips giving a scale-like appearance.",Colour:,"Usually pale blue-grey, green or cream, sometimes bright blue.",Habitat:,"Reef flats and shallow lagoons, also exposed upper reef slopes and occasionally deep water.",Abundance:,Sometimes common.
Acropora austera,"(Dana, 1846)",Characters:,"Colonies are mostly arborescent, often with highly fused main branches. Main branches often curve away from each other and typically taper. Sub-branches are numerous, irregular in size and also taper. Axial corallites are thick walled but have small openings. Radial corallites are sometimes arranged in rows, are irregular in size, the larger projecting outwards with wide square-shaped openings.",Colour:,"Many colours, most commonly blue (which may photograph pink) or cream. Axial corallites are frequently yellow.",Habitat:,"Upper reef slopes, especially where exposed to turbulence.",Abundance:,Usually uncommon.
Acropora awi,"Wallace and Wolstenholme, 1998",Characters:,Colonies consist of bottlebrush branches which may form a loose thicket but which are usually long and distinct. Branchlets and sub-branchlets are compact and of uniform shape. Axial corallites intergrade with radial corallites and are long and tubular. Small radial corallites are pocket-shaped.,Colour:,Grey-brown.,Habitat:,Shallow reef slopes and fringing reefs.,Abundance:,Common.
Acropora azurea,"Veron and Wallace, 1984",Characters:,"Colonies are irregular clumps of straight fine tapered branches arising from a solid base. Radial corallites are appressed, with small nariform rounded openings.",Colour:,"Uniform sky-blue (which may photograph pink), cream or brown.",Habitat:,Upper reef slopes exposed to strong wave action.,Abundance:,Usually uncommon.
Acropora batunai,"Wallace, 1997",Characters:,"Colonies are corymbose, cushion-like or form tables up to approximately one metre across. They have prostrate horizontal branches with short upright branchlets. Axial, incipient axial and radial corallites intergrade; all are small, tubular and sharp edged. Branchlets tend to have a bottlebrush arrangement of radial corallites.",Colour:,"Pale brown, blue (which may photograph pink) or grey.",Habitat:,Shallow protected reef environments.,Abundance:,Uncommon.
Acropora bifurcata,"Nemenzo, 1971",Characters:,"Colonies are wide flat plates and tables. Branches are thin, finely structured and widely spaced forming a delicate lattice network. Branchlets are fine and strongly inclined on the plate surface. Axial and incipient axial corallites are indistinguishable. Radial corallites are cup-shaped and are not arranged in rosettes.",Colour:,Pale branches with darker corallites.,Habitat:,Upper reef slopes.,Abundance:,Uncommon.
Acropora branchi,"Riegl, 1995",Characters:,"Colonies consist of flat, highly fused basal plates. Colonies are sometimes single solid plates covered with short tapered branchlets and incipient axial corallites. Otherwise they have short upright branchlets which are usually widely spaced. Axial corallites are indistinct from radial corallites. Radial corallites have thick lips.",Colour:,"Dark brown or green, usually with pale plate margins.",Habitat:,Upper reef slopes and tidal pools.,Abundance:,Common.
Acropora bushyensis,"Veron and Wallace, 1984",Characters:,"Colonies are digitate, compact, with only slightly tapering branches. Mature colonies are cushion-like. Axial corallites are approximately twice the size of radial corallites. Radial corallites are short, tubular and outward facing, with distinctive wide openings.",Colour:,"Pale brown yellow or cream, occasionally with blue branch tips.",Habitat:,Reef lagoons.,Abundance:,Usually rare.
Acropora cardenae,"Wells, 1985",Characters:,"Colonies are fine prostrate branches which divide at irregular intervals. Axial corallites are blunt. Radial corallites are widely spaced, short, appressed and nariform at branch bases becoming tubular towards their ends.",Colour:,Pale brown.,Habitat:,Protected lower reef slopes.,Abundance:,Locally common.
Acropora carduus,"(Dana, 1846)",Characters:,Colonies form bottlebrush thickets with upright or prostrate main branches. Axial and incipient axial corallites are short and tapered. Radial corallites are small and pocket-shaped. All corallites have thick walls.,Colour:,"Uniform pale brown or cream, rarely blue or mauve. Extremeties are white.",Habitat:,Deep water or protected reef backs and lagoons.,Abundance:,Common.
Acropora caroliniana,"Nemenzo, 1976",Characters:,"Colonies are thick horizontal plates composed of highly fused prostrate branches and short branchlets. Branchlets have large, usually tapering, axial and incipient axial corallites curving upwards or pointing in different directions. Radial corallites are small and pocket-like.",Colour:,Whitish-brown or pale blue.,Habitat:,Upper reef slopes.,Abundance:,Uncommon.
Acropora cerealis,"(Dana, 1846)",Characters:,"Colonies are caespitose or corymbose, composed of branches which interlock in three dimensions. Branches are thin, with most of their width occupied by corallites. Axial corallites are tubular. Radial corallites are tubular and appressed, becoming nariform and conspicuous towards the tips of branches giving colonies a spiky appearance.",Colour:,"Mostly pale brown, cream or white, with purple, pink, blue or cream branch tips.",Habitat:,Upper reef slopes.,Abundance:,Common.
Acropora cervicornis,"(Lamarck, 1816)",Characters:,"Colonies may form stands several metres across. They are arborescent, composed of cylindrical branches which subdivide infrequently. Corallites are tubular; axial corallites are distinctive.",Colour:,Pale brown or tan with white axial corallites.,Habitat:,Upper to mid reef slopes and lagoons with clear water.,Abundance:,Sometimes common.
Acropora chesterfieldensis,"Veron and Wallace, 1984",Characters:,"Colonies are digitate clumps, sometimes forming large stands. Branches are not tapered and divide irregularly. All corallites are rounded, with thick walls. Axial and incipient axial corallites are large and dome-shaped. Radial corallites are short and appressed.",Colour:,Cream or yellow.,Habitat:,Reef slopes and lagoons.,Abundance:,"Common on the Chesterfield Reefs and Norfolk Island, rare elsewhere."
Acropora clathrata,"(Brook, 1891)",Characters:,"Colonies are tables, usually side-attached, with generally horizontal radiating anastomosing branches which may form an almost solid plate. There is usually no development of vertical branchlets. Radial corallites are immersed to tubular, with nariform openings.",Colour:,"Brown, grey or green, often with pale margins.",Habitat:,"Upper reef slopes, back reef margins and fringing reefs.",Abundance:,Common.
Acropora convexa,"(Dana, 1846)",Characters:,"Colonies are corymbose cushions, with thin elongate uniform branches. Axial corallites are tubular in shape. Radial corallites are all the same size and evenly to widely space on branches. They are labellate, with prominent rounded to flaring lower lips giving a scale-like appearance.",Colour:,"Dull creamy-brown, sometimes with yellowish axial corallites.",Habitat:,Turbid reef slopes and lagoons.,Abundance:,Uncommon.
Acropora cophodactyla,"(Brook, 1892)",Characters:,"Colonies are digitate bushes with an extensive encrusting base. Branches are thick, tapering to a conspicuous axial corallite. Radial and incipient axial corallites are of mixed sizes and are irregularly distributed.",Colour:,Primarily blue or purple.,Habitat:,Exposed upper reef slopes and flats.,Abundance:,Rarely common.
Acropora copiosa,"Nemenzo, 1967",Characters:,"Colonies are clumps of prostrate or upright branches. They have irregular branching patterns with frequent sub-branches. Axial corallites are small. Radial corallites are crowded, tubular, appressed, and are irregular in size and shape.",Colour:,Brown and pinkish brown.,Habitat:,"Shallow protected reef environments, especially lagoons.",Abundance:,"Uncommon in Japan, rare elsewhere."
Acropora cytherea,"(Dana, 1846)",Characters:,"Colonies are wide flat tables which are usually thin and finely structured. May become thick and robust in turbulent environments. Fine upward projecting branchlets have exsert axial corallites. Radial corallites are short, with open calices. Tentacles are frequently extended during the day.",Colour:,"Uniform pale cream, brown or blue.",Habitat:,Upper reef slopes and lagoons.,Abundance:,Common and conspicuous.
Acropora dendrum,"(Bassett-Smith, 1890)",Characters:,"Colonies are usually 0.5-1 metre across and are corymbose plates with widely spaced, slightly tapering branchlets. Axial corallites are small. Radial corallites are immersed or nearly so, giving branchlets a smooth appearance.",Colour:,Pale brown or cream.,Habitat:,Occurs only on upper reef slopes where  diversity is high.,Abundance:,Rare.
Acropora derawanensis,"Wallace, 1997",Characters:,Colonies are upright or prostrate tangles of branches and are up to one metre across. Branches are thin and delicate. Axial corallites are long and tubular. Radial corallites are mostly small and tubular to pocket-shaped with sharp edges.,Colour:,"Reddish-brown, with blue or white axial corallites.",Habitat:,Shallow reef environments protected from strong wave action.,Abundance:,Uncommon except on some sheltered reef slopes.
Acropora desalwii,"Wallace, 1994",Characters:,"Colonies are corymbose plates with crowded branchlets. Branchlets at the colony perimeter are mostly horizontal and distinct from those from the rest of the colony. Branchlets may have more than one axial corallite. Axial corallites and incipient axial corallites are long, tubular and upright, except towards plate margins where they are similar to radial corallites.",Colour:,"Pale brown, blue (which may photograph pink) or green, usually with distinct colouration of the colony margins.",Habitat:,Shallow protected reefs.,Abundance:,Common.
Acropora digitifera,"(Dana, 1846)",Characters:,"Colonies are digitate and commonly form attached plates over one metre across. Branches are small, cylindrical or tapered, and sub-branches are sometimes formed. Axial corallites are small to medium in size. Radial corallites are tubular, uniform in size down branch sides, and usually have slightly flaring lips.",Colour:,"Purple, pale brown, cream or yellow, often with pale blue (which may photograph purple), cream or yellow branch tips.",Habitat:,Wave-washed back margins of reefs.,Abundance:,Sometimes common.
Acropora divaricata,"(Dana, 1846)",Characters:,Colonies are generally branching and vary from perforated plates to cushion-shaped. Branches may be flattened or tapered. Axial corallites are often devoid of radial corallites on their upper surface. Radial corallites are all similar and are usually aligned along branches. They change along the branch from immersed to tubular and appressed.,Colour:,"Usually dark brown or greenish brown, sometimes with light brown or blue branch tips or dark blue with whitish tips.",Habitat:,"Upper reef slopes, lagoons and fringing reefs.",Abundance:,"Common, may be a dominant species."
Acropora donei,"Veron and Wallace, 1984",Characters:,"Colonies are table-like, up to 2 metres across, and consist of masses of fused horizontal branches. Peripheral branches are mostly horizontal; those towards the colony centre have upturned ends. All branches have blunt ends and are neatly arranged. Radial corallites are usually in two sizes, the larger of which has flaring lips. The coenosteum is coarse, giving a rough appearance to branches.",Colour:,"Green, white, cream, rarely pale brown.",Habitat:,Restricted to shallow fringing reefs and upper reef slopes where  diversity is high.,Abundance:,Uncommon but distinctive.
Acropora downingi,"Wallace, 1999",Characters:,"Colonies are tables, usually side-attached, generally with horizontal radiating anastomosing branches becoming highly fused at the centre of large colonies. Branchlets may have upturned ends; these are seldom vertical. Axial corallites are small. Radial corallites are of mixed sizes and crowded, with sharp-edged nariform openings.",Colour:,"Brown, grey or green, often with pale margins.",Habitat:,Shallow margins of fringing reefs.,Abundance:,Common.
Acropora echinata,"(Dana, 1846)",Characters:,"Colonies are composed of prostrate, sometimes intertwined, bottlebrush branches. Secondary branchlets are fine and uniform. There is no distinction between axial and incipient axial corallites. Radial corallites are short and tubular or pocket shaped, indistinct or absent.",Colour:,"Usually cream or white, with blue or purple branchlet tips (which may photograph pink to red). Occasionally entirely blue.",Habitat:,Protected reef environments with clear water and a high  diversity.,Abundance:,Usually uncommon but conspicuous.
Acropora efflorescens,"(Dana, 1846)",Characters:,"Colonies are extensive flat plates which are solid except towards the perimeter which usually consists of highly fused irregular branches. They may exceed 2 metres across. Upright branchlets are usually present.Axial and radial corallites are not differentiated; all have sharp rims. Corallites at plate margins are mostly horizontal, those on upper plate surfaces are short, compact and upward facing. There is little or no development of corallites on the undersurfaces of plates.",Colour:,Uniform dark grey or green with distinctively coloured margins.,Habitat:,Steep reef slopes.,Abundance:,Rare.
Acropora elegans,"(Milne Edwards, 1860)",Characters:,Colonies are flat plates commonly over one metre across and consist of flattened radiating branches that have a ridge along the upper surface. Upright branchlets may cover part or all of the colony surface. Radial corallites are more prevalent on the sides of branches and are mostly absent from the undersurface. Axial and radial corallites intergrade and all corallites are large and tubular.,Colour:,"Tan, usually with pale branch ends or plate margins.",Habitat:,Protected steeply sloping reef edges.,Abundance:,Rarely common.
Acropora elegantula,"(Ortmann, 1889)",Characters:,"Colonies are corymbose clumps of prostrate branches, except those from reef flats which have thickened upright branchlets. Horizontal branches are thin, diverging, curved and basally fused. The undersurfaces of branches are usually devoid of corallites. Upward projecting branchlets are irregularly spaced. Axial and incipient axial corallites are well defined.",Colour:,Grey with pale branch tips.,Habitat:,Shallow fringing reefs.,Abundance:,Rarely common.
Acropora elseyi,"(Brook, 1892)",Characters:,"Colonies are shaped like fir trees, with bottlebrush-like radiating sub-branches increasing in length down main branches. The degree of branch development varies greatly with environment. Axial and radial corallites are similar. Both are small with thick rounded walls.",Colour:,Yellow or cream with pale branch tips.,Habitat:,Shallow reef slopes and fringing reefs.,Abundance:,Common and may form extensive single species stands.
Acropora eurystoma,"(Klunzinger, 1879)",Characters:,Colonies are corymbose clumps which may be extensive. Branchlets are evenly spaced.  Axial corallites are distinct and tubular. Radial corallites are arranged in a neat rosette and have slightly flaring lips.,Colour:,Grey-brown.,Habitat:,Shallow reef flats and upper slopes.,Abundance:,Common.
Acropora fastigata,"Nemenzo, 1967",Characters:,"Colonies are small clumps of a few very elongate branches. Each branch consists of a single upright axial corallite which has a thick base and is tapered. The distal tips of axial corallites are smooth and devoid of radial corallites. Below the tip, small radial corallites moderately crowded. Larger colonies usually have numerous incipient axial corallites.",Colour:,"Tan, or blue (photographing pink) usually with pale axial corallites.",Habitat:,Shallow reef environments.,Abundance:,Rare.
Acropora fenneri,"Veron, 2000",Characters:,Colonies may be over one metre across and consist of irregular but mostly upright tangles of branches. Branches divide irregularly and form short branchlets from incipient axial corallites. Axial and incipient axial corallites are identical; the latter usually have several tubular appressed radial corallites. The coenosteum is smooth.,Colour:,Pale brown.,Habitat:,"Shallow reef environments protected from wave action. ,  and  may occur together in the same habitat.",Abundance:,Uncommon.
Acropora filiformis,"Veron, 2000",Characters:,"Colonies may be several metres across and consist of upright or prostrate tangles of mostly straight branches. Branches are exceptionally thin and delicate. They divide infrequently. Axial corallites are long and tubular. Radial corallites are mostly small and tubular to pocket-shaped, with sharp edges.",Colour:,Pale brown.,Habitat:,With  in shallow reef environments protected from wave action.,Abundance:,Rare.
Acropora florida,"(Dana, 1846)",Characters:,"Colonies in turbid water may attain great sizes. They are composed of thick upright or prostrate branches covered with short, stubby sub-branches. Main branches may be highly fused in some geographic regions. Horizontal branches may have no branchlets on the undersurface. Axial corallites are small. Radial corallites are either immersed or uniformly tubular over the whole colony.",Colour:,"Usually browns, occasionally bright green. The dominant colour varies geographically.",Habitat:,Shallow reef environments.,Abundance:,Common.
Acropora forskali,"(Ehrenberg, 1834)",Characters:,"Colonies consist of compact to open branches which are usually twisted into irregular shapes. Sub-branches are highly variable in number. Axial corallites are tubular; incipient axial corallites occur on branch sides. Radial corallites are irregular, immersed to tubular, giving branch surfaces a rough appearance. Tentacles are often extended during the day.",Colour:,Usually grey.,Habitat:,Shallow reef environments.,Abundance:,Uncommon.
Acropora fragilis,"(Bassett-Smith, 1890)",Characters:,"Colonies are irregular tables, sometimes over one metre across, with horizontal branches forming an open network. Upright branchlets are not developed towards the colony margins. Axial corallites are long and tubular and incipient axial corallites are irregular. Radial corallites are immersed on main branches and are triangular in shape, with nariform openings.",Colour:,Pale brown.,Habitat:,Shallow reef environments.,Abundance:,Common.
Acropora gemmifera,"(Brook, 1892)",Characters:,"Colonies are digitate. Branches are thick, tapering to a small axial corallite. Radial corallites are of two sizes, usually in rows. The larger sized corallites increase in length towards branch bases, where incipient axial corallites are common.",Colour:,"Usually purple, blue (which may photograph pink), cream or brown, with blue or white branch tips. Dark grey with white corallite rims and yellow axial corallites in the western Indian Ocean.",Habitat:,Exposed upper reef slopes and flats.,Abundance:,"Common in subtropical locations, rare elsewhere."
Acropora glauca,"(Brook, 1893)",Characters:,"Colonies consist of flat, highly fused, basal branches with irregular upright branchlets. Commonly forms tiered plates.The entire colony is sometimes a single solid plate and sometimes upward branchlets are not developed. Axial corallites are similar to radial corallites. Radial corallites have wide openings and thick lips.",Colour:,"Brown, cream or green.",Habitat:,Rocky foreshores of subtropical locations.,Abundance:,Seldom common.
Acropora globiceps,"(Dana, 1846)",Characters:,"Colonies are digitate and usually small. The size and appearance of branches depends on degree of exposure to wave action, but are always short, closely compacted, with dome-shaped ends. Colonies exposed to strong wave action may have pyramid-shaped branchlets. Corallites are irregular in size, those on colonies on reef slopes are tubular, those on reef flat colonies are more immersed. Axial corallites are small and sometimes indistinguishable. Radial corallites are irregular in size, and are sometimes arranged in rows down the sides of branches.",Colour:,Uniform blue (which may photograph purple) or cream.,Habitat:,Upper reef slopes and reef flats.,Abundance:,Common.
Acropora grandis,"(Brook, 1892)",Characters:,"Colonies are arborescent, with thick upright to prostrate branches. They may form stands 7 metres across. In shallow water branches are short and compact, while in deeper water colonies have more open branches. Radial corallites are of mixed sizes and shapes; those near branch tips are long and tubular and similar to axial corallites. Branch tips are very soft and readily crushed.",Colour:,"Usually dark reddish-brown with pale branch tips. Other colours include blue, purple and green, usually with paler branch tips.",Habitat:,"A wide variety of environments, especially upper reef slopes and lagoons.",Abundance:,Common.
Acropora granulosa,"(Milne Edwards, 1860)",Characters:,"Colonies are semi-circular horizontal plates, usually less than one metre across. Plates are composed of regularly spaced horizontal branches are covered with short inclined branchlets composed mostly of one or more axial and incipient axial corallites. Radial corallites are small and pocket-like.",Colour:,"Usually uniform cream, grey or pale blue (which may photograph purple), but may be other colours.",Habitat:,"Most reef environments, especially reef slopes protected from wave action.",Abundance:,Usually uncommon.
Acropora haimei,"(Milne Edwards, 1860)",Characters:,"Colonies consist of dense thickets of short upright tapered branches. Colonies may form extensive single-species stands in shallow water. Axial corallites are exsert and tubular. Radial corallites are irregular in size and tubular, with sharp-edged lips giving colonies a spikey appearance.",Colour:,Uniform pale or dark brown wich white corallites.,Habitat:,Shallow reef environments.,Abundance:,Sometimes common .
Acropora halmaherae,"Wallace and Wolstenholme, 1998",Characters:,Colonies are compact bushes with delicate upright branches creating thickets. Branches form at acute angles. Axial and radial corallites are both tubular and of similar length down branches.,Colour:,Pink-grey with white tips.,Habitat:,"Shallow protected reef environments, especially lagoons.",Abundance:,Common.
Acropora hemprichii,"(Ehrenberg, 1834)",Characters:,Colonies consist of open thickets of sturdy prostrate to upright branches. They are frequently over 2 metres across and may form extensive single species stands. Axial corallites are dome-shaped and incipient axial corallites are common. Radial corallites are large and conical. They are irregularly spaced and have thick smooth walls. The coenosteum is smooth.,Colour:,Commonly brown or pinkish brown.,Habitat:,Shallow reef environments.,Abundance:,Common.
Acropora hoeksemai,"Wallace, 1997",Characters:,"Colonies may be over 2 metres across, composed of irregularly fused horizontal branches, with upturned pointed ends except at the colony perimeter. Vertical branches are evenly spaced. Colonies usually have a side attachment. Branches are irregularly spaced. Radial corallites are uniform, tubular, and neatly aligned along branches.",Colour:,Cream or pale brown.,Habitat:,Shallow reef environments.,Abundance:,Usually uncommon.
Acropora horrida,"(Dana, 1846)",Characters:,"Colonies are usually open branched, becoming bushy on upper reef slopes and in shallow lagoons. Main branches of colonies in turbid water have irregular branchlets; those in shallow clear water have compact branchlets, giving colonies a bushy appearance. Corallites are irregular and the surface of branches is rough. Tentacles are usually extended during the day.",Colour:,"Usually pale blue (which may photograph pink or purple), sometimes dark blue or pale yellow or brown. Polyps are pale blue or white.",Habitat:,Turbid water around fringing reefs.,Abundance:,"Usually common, and sometimes a dominant species."
Acropora humilis,"(Dana, 1846)",Characters:,"Colonies are digitate. Branches are thick, gradually tapering to large dome-shaped axial corallites. Small branchlets or incipient axial corallites usually occur at the base of main branches. Radial corallites are of two sizes, the larger are usually in rows, have thick walls and only increase slightly down the sides of branches.",Colour:,"Many colours, but most usually cream, brown, purple or blue (which may photograph purple) with blue or cream tips.",Habitat:,Exposed upper reef slopes and reef flats.,Abundance:,One of the most abundant corals of exposed outer reef slopes of much of the western Pacific.
Acropora hyacinthus,"(Dana, 1846)",Characters:,"Colonies are wide flat plates and tables or tiered aggregations of small plates. Branchlets are thin and finely structured except where exposed to wave action, when they become closely fused. Branchlets are fine and upward-projecting. Axial corallites are distinct but not exsert. Radial corallites are cup-shaped and form rosettes.",Colour:,"Uniform cream, brown, grey or green with or without blue (which may photograph pink) growing margins.",Habitat:,Upper reef slopes and outer reef flats.,Abundance:,Common.
Acropora indonesia,"Wallace, 1997",Characters:,"Small colonies are cushion-shaped, becoming more table-like or tiered with increasing size. Branches are thin, vertical and close together. Those on the sides of colonies have irregularly upturned ends. Axial corallites are usually prominent. Radial corallites are rasp-like and uniform in size.",Colour:,Usually pale to dark grey-brown.,Habitat:,Horizontal surfaces protected from wave action.,Abundance:,Uncommon.
